Image,Class ID,Confidence,x_center,y_center,width,height
@EAHCI_2234.jpg,0,0.401528,0.308594,0.35625,0.142188,0.225
@EAHCI_2234.jpg,26,0.419596,0.886719,0.475,0.120312,0.1375
@EAHCI_2234.jpg,0,0.574769,0.615625,0.560938,0.134375,0.653125
@EAHCI_2234.jpg,0,0.736817,0.471094,0.525781,0.364062,0.854688
@EAHCI_2234.jpg,0,0.804289,0.138281,0.591406,0.176563,0.645312
@EAHCI_2234.jpg,62,0.84338,0.071875,0.174219,0.134375,0.132812
@EAHCI_2234.jpg,0,0.876958,0.907031,0.567969,0.185937,0.623438
@EAHCI_1675.jpg,67,0.355887,0.105556,0.83,0.197778,0.333333
@EAHCI_1675.jpg,0,0.54025,0.518889,0.49,0.891111,0.98
@EAHCI_1959.jpg,0,0.305811,0.428906,0.465104,0.0625,0.192708
@EAHCI_1959.jpg,0,0.399294,0.487891,0.469271,0.0867188,0.201042
@EAHCI_1959.jpg,0,0.487381,0.278125,0.5,0.0828125,0.283333
@EAHCI_1959.jpg,0,0.603769,0.334766,0.529167,0.0742188,0.366667
@EAHCI_1959.jpg,0,0.606911,0.491016,0.604688,0.0804688,0.226042
@EAHCI_1959.jpg,0,0.6096,0.416797,0.607292,0.0898438,0.20625
@EAHCI_1959.jpg,0,0.625744,0.196875,0.498958,0.0859375,0.295833
@EAHCI_1959.jpg,0,0.627842,0.752734,0.564583,0.0773437,0.360417
@EAHCI_1959.jpg,0,0.687018,0.560547,0.563542,0.0726563,0.329167
@EAHCI_1959.jpg,0,0.711462,0.687891,0.560417,0.0726563,0.341667
@EAHCI_1959.jpg,0,0.711525,0.104687,0.464063,0.115625,0.301042
@EAHCI_1959.jpg,0,0.766354,0.226562,0.651042,0.117188,0.264583
@EAHCI_1959.jpg,0,0.781506,0.623438,0.556771,0.075,0.340625
@EAHCI_1959.jpg,0,0.831035,0.816797,0.582812,0.0789063,0.378125
@EAHCI_1959.jpg,0,0.83982,0.0929687,0.654688,0.148438,0.311458
@EAHCI_1959.jpg,0,0.854725,0.892187,0.596875,0.114063,0.404167
@EAHCI_1611.jpg,67,0.372438,0.105556,0.83,0.197778,0.333333
@EAHCI_1611.jpg,0,0.532462,0.52,0.491667,0.893333,0.976667
@lobelia4cosmetics_15092.jpg,39,0.681485,0.513,0.5595,0.392,0.727
@lobelia4cosmetics_14529.jpg,41,0.646767,0.315714,0.791429,0.22,0.177143
@CheMed123_41.jpg,65,0.458932,0.855556,0.327778,0.0888889,0.231481
@CheMed123_41.jpg,0,0.621873,0.29537,0.718518,0.107407,0.177778
@lobelia4cosmetics_15119.jpg,39,0.302833,0.497917,0.47625,0.420833,0.9075
@EAHCI_2016.jpg,0,0.385113,0.452984,0.620036,0.898734,0.731047
@EAHCI_1520.jpg,34,0.262178,0.351083,0.336643,0.15343,0.453069
@EAHCI_1520.jpg,39,0.356218,0.573105,0.341155,0.18231,0.480144
@EAHCI_1520.jpg,75,0.535464,0.575812,0.33574,0.173285,0.472924
@lobelia4cosmetics_14338.jpg,41,0.646767,0.315714,0.791429,0.22,0.177143
@EAHCI_2549.jpg,65,0.253827,0.787963,0.778704,0.398148,0.411111
@yetenaweg_183.jpg,26,0.25349,0.857031,0.465278,0.182812,0.466667
@yetenaweg_183.jpg,59,0.25818,0.730078,0.516667,0.477344,0.641667
@yetenaweg_183.jpg,26,0.441403,0.694531,0.285417,0.282813,0.254167
@EAHCI_1633.jpg,0,0.268386,0.566016,0.621875,0.0476562,0.408333
@EAHCI_1633.jpg,0,0.303837,0.554297,0.5,0.0289063,0.0979167
@EAHCI_1633.jpg,61,0.391192,0.971094,0.951042,0.05625,0.0979167
@EAHCI_1633.jpg,27,0.442201,0.470703,0.55625,0.0304688,0.147917
@EAHCI_1633.jpg,0,0.589206,0.610547,0.653646,0.0929687,0.523958
@EAHCI_1633.jpg,0,0.714723,0.520312,0.629687,0.084375,0.411458
@EAHCI_1633.jpg,0,0.815039,0.664453,0.680208,0.116406,0.589583
@EAHCI_1633.jpg,0,0.818568,0.775391,0.684375,0.189844,0.620833
@EAHCI_1633.jpg,0,0.846675,0.461719,0.669271,0.13125,0.536458
@EAHCI_1633.jpg,0,0.854705,0.212109,0.702604,0.153906,0.592708
@EAHCI_1633.jpg,0,0.862317,0.148438,0.704167,0.13125,0.591667
@EAHCI_1633.jpg,0,0.898944,0.323828,0.668229,0.217969,0.661458
@lobelia4cosmetics_14355.jpg,46,0.326344,0.291128,0.940138,0.0913006,0.0852713
@lobelia4cosmetics_14355.jpg,45,0.757747,0.367356,0.780792,0.374677,0.233419
@lobelia4cosmetics_14430.jpg,39,0.362377,0.628516,0.549609,0.194531,0.455469
@lobelia4cosmetics_14430.jpg,75,0.771509,0.114844,0.749219,0.107813,0.323438
@DoctorsET_800.jpg,41,0.679704,0.575,0.877083,0.129688,0.2125
@DoctorsET_800.jpg,0,0.897224,0.440625,0.501389,0.389062,0.95
@DoctorsET_800.jpg,41,0.919741,0.820312,0.89375,0.146875,0.201389
@EAHCI_1679.jpg,56,0.454892,0.477604,0.860547,0.603125,0.275781
@EAHCI_1679.jpg,62,0.498349,0.509896,0.319141,0.226042,0.133594
@EAHCI_1679.jpg,56,0.535544,0.0541667,0.598047,0.108333,0.283594
@EAHCI_1679.jpg,63,0.588618,0.426042,0.864062,0.510417,0.271875
@EAHCI_1679.jpg,0,0.615873,0.69375,0.637109,0.610417,0.566406
@EAHCI_1679.jpg,0,0.761503,0.288021,0.574219,0.469792,0.798437
@lobelia4cosmetics_15156 (1).jpg,42,0.258615,0.730833,0.753333,0.203333,0.18
@lobelia4cosmetics_15156 (1).jpg,54,0.31281,0.55375,0.850833,0.0808333,0.095
@lobelia4cosmetics_15156 (1).jpg,54,0.39035,0.37375,0.808333,0.0725,0.0766667
@lobelia4cosmetics_15156 (1).jpg,74,0.653353,0.48875,0.389583,0.4825,0.4875
@EAHCI_1788.jpg,0,0.450162,0.483984,0.502083,0.967969,0.9875
@EAHCI_1636.jpg,0,0.268386,0.566016,0.621875,0.0476562,0.408333
@EAHCI_1636.jpg,0,0.303837,0.554297,0.5,0.0289063,0.0979167
@EAHCI_1636.jpg,61,0.391192,0.971094,0.951042,0.05625,0.0979167
@EAHCI_1636.jpg,27,0.442201,0.470703,0.55625,0.0304688,0.147917
@EAHCI_1636.jpg,0,0.589206,0.610547,0.653646,0.0929687,0.523958
@EAHCI_1636.jpg,0,0.714723,0.520312,0.629687,0.084375,0.411458
@EAHCI_1636.jpg,0,0.815039,0.664453,0.680208,0.116406,0.589583
@EAHCI_1636.jpg,0,0.818568,0.775391,0.684375,0.189844,0.620833
@EAHCI_1636.jpg,0,0.846675,0.461719,0.669271,0.13125,0.536458
@EAHCI_1636.jpg,0,0.854705,0.212109,0.702604,0.153906,0.592708
@EAHCI_1636.jpg,0,0.862317,0.148438,0.704167,0.13125,0.591667
@EAHCI_1636.jpg,0,0.898944,0.323828,0.668229,0.217969,0.661458
@CheMed123_45.jpg,79,0.323845,0.403241,0.781944,0.134259,0.136111
@EAHCI_2005.jpg,0,0.385113,0.452984,0.620036,0.898734,0.731047
@lobelia4cosmetics_14325.jpg,39,0.387272,0.50125,0.492083,0.379167,0.925833
@lobelia4cosmetics_14704.jpg,46,0.326344,0.291128,0.940138,0.0913006,0.0852713
@lobelia4cosmetics_14704.jpg,45,0.757747,0.367356,0.780792,0.374677,0.233419
@yetenaweg_1093.jpg,74,0.722516,0.233984,0.621484,0.394531,0.389844
@EAHCI_2080.jpg,76,0.286058,0.669141,0.370833,0.199219,0.54375
@EAHCI_2080.jpg,0,0.440661,0.485547,0.499479,0.971094,0.986458
@yetenaweg_672.jpg,0,0.891952,0.287058,0.460156,0.459071,0.4375
@EAHCI_2372.jpg,0,0.274448,0.497917,0.951199,0.0652778,0.0941781
@EAHCI_2372.jpg,0,0.299987,0.0111111,0.946918,0.0222222,0.0993151
@EAHCI_2372.jpg,0,0.307008,0.0736111,0.968322,0.0416667,0.0599315
@EAHCI_2372.jpg,0,0.309888,0.930556,0.944349,0.0361111,0.107877
@EAHCI_2372.jpg,0,0.32893,0.895139,0.947774,0.0402778,0.101027
@EAHCI_2372.jpg,0,0.335947,0.868056,0.946918,0.0416667,0.0993151
@EAHCI_2372.jpg,0,0.351565,0.747222,0.960616,0.05,0.0753425
@EAHCI_2372.jpg,0,0.356572,0.444444,0.953767,0.0472222,0.0924658
@EAHCI_2372.jpg,0,0.363739,0.622917,0.967466,0.0458333,0.0616438
@EAHCI_2372.jpg,0,0.366102,0.564583,0.947774,0.0541667,0.104452
@EAHCI_2372.jpg,0,0.458197,0.795833,0.952055,0.0444444,0.0890411
@EAHCI_2372.jpg,25,0.474878,0.936111,0.424658,0.05,0.0273973
@EAHCI_2372.jpg,0,0.619003,0.8375,0.947774,0.0472222,0.101027
@EAHCI_2372.jpg,0,0.646164,0.670139,0.962329,0.0541667,0.0753425
@DoctorsET_63.jpg,2,0.331944,0.0296875,0.880859,0.0578125,0.0335938
@DoctorsET_63.jpg,2,0.440087,0.975781,0.88125,0.0484375,0.034375
@DoctorsET_63.jpg,2,0.479978,0.894141,0.90625,0.0492188,0.0453125
@DoctorsET_63.jpg,10,0.589761,0.345703,0.973437,0.0195312,0.0375
@DoctorsET_63.jpg,2,0.778653,0.938281,0.951172,0.123438,0.0976562
@DoctorsET_63.jpg,2,0.821212,0.810938,0.902734,0.135937,0.0820312
@DoctorsET_63.jpg,2,0.877766,0.06875,0.908594,0.135937,0.071875
@DoctorsET_63.jpg,2,0.879923,0.685547,0.929297,0.155469,0.0773437
@EAHCI_1746.jpg,0,0.434119,0.856952,0.10875,0.272727,0.2175
@EAHCI_1746.jpg,0,0.453754,0.36631,0.6175,0.705882,0.7425
@EAHCI_1746.jpg,0,0.61232,0.439171,0.326875,0.501337,0.48375
@EAHCI_1746.jpg,0,0.712641,0.669118,0.270625,0.177807,0.35875
@EAHCI_1746.jpg,0,0.746389,0.084893,0.371875,0.169786,0.36875
@EAHCI_1746.jpg,0,0.751597,0.278743,0.15125,0.188503,0.235
@EAHCI_1746.jpg,0,0.797313,0.837567,0.536875,0.322193,0.92625
@yetenaweg_383.jpg,0,0.264145,0.258296,0.432031,0.0763274,0.19375
@yetenaweg_383.jpg,0,0.268795,0.348451,0.352344,0.0597345,0.0703125
@yetenaweg_383.jpg,0,0.269672,0.33573,0.461719,0.140487,0.239063
@yetenaweg_383.jpg,0,0.282256,0.228429,0.358984,0.0586283,0.0773437
@yetenaweg_383.jpg,0,0.286726,0.177544,0.4375,0.105088,0.2125
@yetenaweg_383.jpg,77,0.307351,0.963496,0.114844,0.0707965,0.0875
@yetenaweg_383.jpg,0,0.35727,0.404867,0.436719,0.0840708,0.21875
@yetenaweg_383.jpg,77,0.451802,0.919248,0.135156,0.137168,0.0796875
@DoctorsET_830.jpg,0,0.711779,0.9625,0.736875,0.045,0.12125
@DoctorsET_830.jpg,2,0.809612,0.9125,0.8925,0.175,0.2075
@lobelia4cosmetics_14297.jpg,39,0.469023,0.700188,0.620301,0.110902,0.552632
@lobelia4cosmetics_15040.jpg,73,0.349996,0.518182,0.61147,0.486869,0.660743
@DoctorsET_246.jpg,41,0.341665,0.0940909,0.760573,0.0427273,0.102319
@DoctorsET_246.jpg,33,0.455116,0.812273,0.565484,0.360909,0.869031
@DoctorsET_246.jpg,41,0.486241,0.361818,0.716235,0.0636364,0.0709413
@lobelia4cosmetics_14617.jpg,54,0.268656,0.495909,0.645909,0.0736364,0.0627273
@lobelia4cosmetics_14617.jpg,46,0.321509,0.798636,0.434091,0.0809091,0.09
@yetenaweg_791.jpg,0,0.860513,0.682813,0.380859,0.139062,0.305469
@yetenaweg_791.jpg,0,0.90951,0.835938,0.385156,0.139062,0.298438
@lobelia4cosmetics_15016.jpg,0,0.812305,0.716667,0.313889,0.233333,0.372222
@lobelia4cosmetics_14826.jpg,39,0.681485,0.513,0.5595,0.392,0.727
@yetenaweg_379.jpg,59,0.47599,0.457778,0.523148,0.795556,0.514815
@EAHCI_1724.jpg,9,0.305571,0.498895,0.407031,0.476243,0.36875
@lobelia4cosmetics_15049.jpg,0,0.812305,0.716667,0.313889,0.233333,0.372222
@EAHCI_1960.jpg,9,0.302453,0.50221,0.406641,0.469613,0.367969
@EAHCI_2062.jpg,73,0.274853,0.673248,0.603704,0.103185,0.559259
@EAHCI_2062.jpg,73,0.316949,0.674522,0.550926,0.0802548,0.0944444
@EAHCI_2062.jpg,0,0.318861,0.445223,0.383333,0.0700637,0.185185
@EAHCI_2062.jpg,0,0.344741,0.332484,0.590741,0.0764331,0.57037
@EAHCI_2062.jpg,0,0.355976,0.575796,0.365741,0.11465,0.209259
@EAHCI_2062.jpg,0,0.41388,0.83121,0.572222,0.0929936,0.581481
@EAHCI_2062.jpg,0,0.504544,0.673248,0.607407,0.103185,0.566667
@EAHCI_2062.jpg,0,0.709334,0.294268,0.606481,0.101911,0.568519
@EAHCI_2062.jpg,0,0.752532,0.378344,0.607407,0.0993631,0.562963
@EAHCI_2062.jpg,0,0.757651,0.893631,0.571296,0.161783,0.627778
@EAHCI_2062.jpg,0,0.821649,0.766879,0.584259,0.107006,0.57963
@EAHCI_2062.jpg,0,0.843031,0.477707,0.614815,0.117197,0.562963
@EAHCI_2062.jpg,0,0.860611,0.212102,0.615741,0.123567,0.564815
@EAHCI_2062.jpg,0,0.87548,0.574522,0.603704,0.109554,0.555556
@EAHCI_2062.jpg,0,0.931566,0.0923567,0.623148,0.149045,0.627778
@EAHCI_2013.jpg,0,0.305811,0.428906,0.465104,0.0625,0.192708
@EAHCI_2013.jpg,0,0.399294,0.487891,0.469271,0.0867188,0.201042
@EAHCI_2013.jpg,0,0.487381,0.278125,0.5,0.0828125,0.283333
@EAHCI_2013.jpg,0,0.603769,0.334766,0.529167,0.0742188,0.366667
@EAHCI_2013.jpg,0,0.606911,0.491016,0.604688,0.0804688,0.226042
@EAHCI_2013.jpg,0,0.6096,0.416797,0.607292,0.0898438,0.20625
@EAHCI_2013.jpg,0,0.625744,0.196875,0.498958,0.0859375,0.295833
@EAHCI_2013.jpg,0,0.627842,0.752734,0.564583,0.0773437,0.360417
@EAHCI_2013.jpg,0,0.687018,0.560547,0.563542,0.0726563,0.329167
@EAHCI_2013.jpg,0,0.711462,0.687891,0.560417,0.0726563,0.341667
@EAHCI_2013.jpg,0,0.711525,0.104687,0.464063,0.115625,0.301042
@EAHCI_2013.jpg,0,0.766354,0.226562,0.651042,0.117188,0.264583
@EAHCI_2013.jpg,0,0.781506,0.623438,0.556771,0.075,0.340625
@EAHCI_2013.jpg,0,0.831035,0.816797,0.582812,0.0789063,0.378125
@EAHCI_2013.jpg,0,0.83982,0.0929687,0.654688,0.148438,0.311458
@EAHCI_2013.jpg,0,0.854725,0.892187,0.596875,0.114063,0.404167
@EAHCI_2601.jpg,0,0.29117,0.791797,0.306261,0.0632813,0.189509
@EAHCI_2601.jpg,73,0.358332,0.566016,0.704738,0.0976562,0.150592
@EAHCI_2601.jpg,0,0.488912,0.804688,0.362944,0.090625,0.309645
@EAHCI_2601.jpg,0,0.555527,0.283594,0.581218,0.165625,0.824027
@EAHCI_2601.jpg,0,0.646425,0.409375,0.277496,0.05,0.169205
@EAHCI_2601.jpg,0,0.686014,0.647656,0.369712,0.0921875,0.302876
@EAHCI_2601.jpg,0,0.702828,0.2125,0.560914,0.109375,0.854484
@EAHCI_2601.jpg,0,0.706729,0.689844,0.29357,0.0578125,0.238579
@EAHCI_2601.jpg,0,0.794839,0.573047,0.631134,0.153906,0.734349
@EAHCI_2601.jpg,0,0.838837,0.736328,0.616751,0.188281,0.766497
@EAHCI_2601.jpg,0,0.846906,0.364453,0.581218,0.105469,0.820643
@EAHCI_2601.jpg,0,0.902493,0.896094,0.639594,0.1875,0.71066
@EAHCI_2601.jpg,0,0.910749,0.101953,0.532995,0.200781,0.93401
@EAHCI_2601.jpg,0,0.914317,0.475,0.554146,0.146875,0.881557
@EAHCI_2059.jpg,9,0.302453,0.50221,0.406641,0.469613,0.367969
@CheMed123_55.jpg,11,0.871988,0.831481,0.793519,0.168519,0.231481
@lobelia4cosmetics_15149.jpg,39,0.410454,0.474093,0.505625,0.454231,0.94375
@DoctorsET_487.jpg,62,0.276837,0.664453,0.225,0.141406,0.191667
@DoctorsET_487.jpg,0,0.346802,0.663672,0.223611,0.124219,0.180556
@DoctorsET_487.jpg,0,0.365978,0.339844,0.942361,0.046875,0.0958333
@DoctorsET_487.jpg,0,0.389525,0.657031,0.220139,0.0671875,0.1375
@DoctorsET_487.jpg,0,0.492845,0.775391,0.765278,0.392969,0.461111
@DoctorsET_487.jpg,0,0.612018,0.379687,0.875,0.145313,0.241667
@DoctorsET_487.jpg,0,0.789316,0.513281,0.569444,0.335938,0.85
@EAHCI_1517.jpg,0,0.274441,0.76875,0.38125,0.0234375,0.0416667
@EAHCI_1517.jpg,0,0.356668,0.439063,0.339583,0.128125,0.166667
@EAHCI_1517.jpg,0,0.405807,0.592578,0.363542,0.0632813,0.160417
@EAHCI_1517.jpg,0,0.623146,0.43125,0.609375,0.132812,0.741667
@EAHCI_1517.jpg,0,0.732399,0.789062,0.609375,0.15,0.685417
@EAHCI_1517.jpg,0,0.751363,0.543359,0.616146,0.147656,0.723958
@EAHCI_1517.jpg,0,0.786288,0.888672,0.580729,0.153906,0.663542
@EAHCI_1517.jpg,0,0.801282,0.279687,0.610937,0.201562,0.773958
@EAHCI_1517.jpg,0,0.823844,0.679297,0.597917,0.167969,0.722917
@EAHCI_1517.jpg,0,0.890525,0.0984375,0.578646,0.195312,0.826042
@lobelia4cosmetics_14356.jpg,29,0.406097,0.5185,0.485,0.775,0.604
@EAHCI_2102.jpg,0,0.318071,0.894271,0.941406,0.196875,0.110937
@EAHCI_2102.jpg,39,0.424663,0.184375,0.396875,0.05625,0.109375
@EAHCI_2102.jpg,39,0.441949,0.501562,0.572266,0.0885417,0.0945313
@EAHCI_2102.jpg,39,0.553916,0.144792,0.394141,0.0458333,0.114844
@EAHCI_2102.jpg,39,0.628152,0.113542,0.390234,0.0375,0.108594
@EAHCI_2102.jpg,0,0.775896,0.289062,0.682813,0.578125,0.634375
@EAHCI_2102.jpg,62,0.829585,0.75,0.340234,0.464583,0.419531
@DoctorsET_773.jpg,56,0.310762,0.449609,0.782639,0.142969,0.431944
@DoctorsET_773.jpg,27,0.40673,0.851172,0.46875,0.0367187,0.118056
@DoctorsET_773.jpg,0,0.475385,0.269922,0.645833,0.0914062,0.586111
@DoctorsET_773.jpg,56,0.572971,0.264844,0.791667,0.120312,0.408333
@DoctorsET_773.jpg,56,0.750147,0.735547,0.84375,0.121094,0.301389
@DoctorsET_773.jpg,56,0.752985,0.617578,0.763889,0.121094,0.466667
@DoctorsET_773.jpg,0,0.809595,0.853516,0.642361,0.132031,0.656944
@DoctorsET_773.jpg,0,0.866188,0.946094,0.661806,0.103125,0.6625
@EAHCI_2118.jpg,62,0.261293,0.312278,0.264062,0.624555,0.339063
@EAHCI_2118.jpg,73,0.261559,0.845196,0.463672,0.309609,0.192969
@EAHCI_2118.jpg,63,0.293278,0.400356,0.54375,0.800712,0.332812
@yetenaweg_729.jpg,74,0.382515,0.268,0.489,0.314667,0.754
@EAHCI_2165.jpg,73,0.264355,0.16713,0.652469,0.134259,0.159259
@EAHCI_2165.jpg,25,0.274928,0.923148,0.30679,0.151852,0.119753
@EAHCI_2165.jpg,0,0.28433,0.318981,0.412963,0.0601852,0.164198
@EAHCI_2165.jpg,26,0.353856,0.627778,0.619136,0.062963,0.107407
@EAHCI_2165.jpg,0,0.358028,0.39213,0.38642,0.0527778,0.153086
@EAHCI_2165.jpg,0,0.372499,0.824074,0.450617,0.0740741,0.254321
@EAHCI_2165.jpg,0,0.372779,0.487037,0.395679,0.0574074,0.137037
@EAHCI_2165.jpg,0,0.387198,0.923148,0.678395,0.15,0.633333
@EAHCI_2165.jpg,0,0.587526,0.703241,0.387654,0.0564815,0.125926
@EAHCI_2165.jpg,0,0.610841,0.369444,0.674074,0.118519,0.619753
@EAHCI_2165.jpg,0,0.633972,0.8625,0.672222,0.137963,0.630864
@EAHCI_2165.jpg,0,0.681435,0.455093,0.659259,0.110185,0.609877
@EAHCI_2165.jpg,0,0.690658,0.667593,0.657407,0.111111,0.598765
@EAHCI_2165.jpg,0,0.697893,0.561574,0.661111,0.149074,0.653086
@EAHCI_2165.jpg,0,0.729388,0.752778,0.659259,0.109259,0.577778
@EAHCI_2165.jpg,0,0.841139,0.259259,0.674074,0.155556,0.649383
@EAHCI_2165.jpg,0,0.851791,0.116667,0.659877,0.225926,0.67284
@lobelia4cosmetics_14987.jpg,47,0.270616,0.58935,0.237365,0.0812274,0.0631769
@lobelia4cosmetics_14987.jpg,47,0.307676,0.331227,0.240072,0.0848375,0.0541516
@lobelia4cosmetics_14987.jpg,49,0.350895,0.420578,0.233755,0.0974729,0.0631769
@lobelia4cosmetics_14987.jpg,49,0.536241,0.65704,0.23556,0.0722022,0.0631769
@CheMed123_96.jpg,32,0.286899,0.723148,0.605556,0.0666667,0.0685185
@CheMed123_96.jpg,32,0.444291,0.503241,0.651389,0.0935185,0.0916667
@EAHCI_1741.jpg,66,0.261363,0.609896,0.686719,0.248958,0.109375
@EAHCI_1741.jpg,39,0.321306,0.503646,0.573828,0.0885417,0.0929687
@EAHCI_1741.jpg,39,0.434696,0.1875,0.382812,0.0458333,0.0796875
@EAHCI_1741.jpg,0,0.485056,0.892708,0.941797,0.202083,0.110156
@EAHCI_1741.jpg,39,0.540402,0.146875,0.393359,0.0458333,0.113281
@EAHCI_1741.jpg,39,0.657298,0.113542,0.390234,0.0375,0.107031
@EAHCI_1741.jpg,0,0.755728,0.288542,0.685938,0.577083,0.628125
@EAHCI_1741.jpg,62,0.844376,0.749479,0.340625,0.463542,0.421875
@CheMed123_48.jpg,74,0.316561,0.823148,0.860185,0.346296,0.27963
@lobelia4cosmetics_14193.jpg,0,0.892511,0.467553,0.517969,0.259578,0.376563
@EAHCI_2195.jpg,29,0.855638,0.325,0.835431,0.359259,0.31365
@DoctorsET_73.jpg,56,0.279086,0.519922,0.734028,0.244531,0.481944
@DoctorsET_73.jpg,56,0.318961,0.546484,0.239583,0.0445312,0.101389
@DoctorsET_73.jpg,0,0.393703,0.261328,0.233333,0.111719,0.258333
@DoctorsET_73.jpg,0,0.395998,0.0773437,0.0805556,0.0578125,0.158333
@DoctorsET_73.jpg,56,0.401424,0.460938,0.345139,0.139062,0.334722
@DoctorsET_73.jpg,0,0.406482,0.975,0.788194,0.05,0.423611
@DoctorsET_73.jpg,0,0.435349,0.460938,0.294444,0.13125,0.361111
@DoctorsET_73.jpg,0,0.438955,0.473047,0.216667,0.103906,0.202778
@DoctorsET_73.jpg,56,0.458392,0.164062,0.490972,0.1375,0.398611
@DoctorsET_73.jpg,0,0.471068,0.410937,0.175694,0.0625,0.154167
@DoctorsET_73.jpg,0,0.485898,0.891016,0.3125,0.144531,0.413889
@DoctorsET_73.jpg,0,0.518412,0.59375,0.14375,0.0671875,0.131944
@DoctorsET_73.jpg,0,0.521823,0.513672,0.185417,0.0492188,0.198611
@DoctorsET_73.jpg,0,0.546239,0.447656,0.164583,0.0453125,0.131944
@DoctorsET_73.jpg,0,0.556718,0.207422,0.170139,0.0414063,0.134722
@DoctorsET_73.jpg,56,0.559046,0.346484,0.427083,0.117969,0.390278
@DoctorsET_73.jpg,0,0.587153,0.0386719,0.240972,0.0742188,0.179167
@DoctorsET_73.jpg,0,0.631255,0.313672,0.163194,0.0570313,0.126389
@DoctorsET_73.jpg,0,0.742214,0.719141,0.253472,0.117969,0.354167
@DoctorsET_73.jpg,56,0.771093,0.828906,0.708333,0.257812,0.575
@DoctorsET_73.jpg,0,0.80942,0.298438,0.369444,0.1875,0.547222
@DoctorsET_73.jpg,0,0.863028,0.111328,0.409028,0.210156,0.554167
@DoctorsET_73.jpg,0,0.877491,0.709375,0.569444,0.365625,0.861111
@DoctorsET_73.jpg,0,0.895583,0.478516,0.569444,0.341406,0.861111
@EAHCI_2095.jpg,0,0.319811,0.894271,0.941406,0.196875,0.110937
